ID,Nom,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
IVRCQ1,Ancien grenier de l'Hôpital ,Haguenau-Wissembourg,7.7869445208735,48.8190384974742,moyen,80.0,"Couverture vétuste, fissures, enduit très lacunaire > brique exposée, parties basses cimentées",Grenier de l'Hôpital (ancien) (cad. 29 17) : inscription par arrêté du 29 avril 1969,2018-12-31
IGNH7G,Grenier Saint-Georges,Haguenau-Wissembourg,7.78522258812571,48.8128454773566,moyen,50.0,Maçonnerie en briques dégradée. Joints lavés. Bcp de végétation. Intérieurs pas vus. ,Grenier Saint-Georges : inscription par arrêté du 5 avril 1930,2018-12-31
I7T5X8,Ancienne maison Zuckmantel ,Haguenau-Wissembourg,7.7907800032245,48.8146876773717,bon,0.0,"Desquamations sur oriel, salissures sur enduit (cimenté ?)",Façade avec oriel et toiture : inscription par arrêté du 5 avril 1930,2018-12-31
IB81CI,"Ancienne maison ""A la Cour verte""",Haguenau-Wissembourg,7.79218883934546,48.8170813430238,bon,5.0,Cour pas visitée. Efflorescences parties basses enduit ciment.,Façades avec tourelle d'escalier et galeries sur la petite cour : inscription par arrêté du 5 avril 1930,2018-12-31
IAFDPB,Porte des Chevaliers,Haguenau-Wissembourg,7.78734212976267,48.8180964592298,bon,10.0,Couverture vétuste,Porte des Chevaliers : inscription par arrêté du 3 décembre 1930,2018-12-31
I2S66G,Porte de Wissembourg,Haguenau-Wissembourg,7.79144580775448,48.8209597688837,bon,,Salissures,Porte de Wissembourg : inscription par arrêté du 5 avril 1930,
I22UYC,Synagogue,Haguenau-Wissembourg,7.79076550688125,48.813942758826,péril,,Mérule charpente + pignon nord. Intérieur bon état.,Synagogue (cad. AT 8) : inscription par arrêté du 29 août 1984,2018-12-31
ILEDRN,Tour des Pêcheurs,Haguenau-Wissembourg,7.7928509727906,48.8148142171982,bon,40.0,,Tour et arche sur la rivière : classement par arrêté du 28 février 1923,2018-12-31
I7870Y,Ferme,Haguenau-Wissembourg,7.78549993060564,48.699368205381,mauvais,,Toitures des dépendances défectueuses,"Façades et toitures des quatre bâtiments entourant la cour, y compris la stube du rez-de-chaussée de la maison d'habitation (cad. 7 72) : inscription par arrêté du 8 octobre 1984",2018-12-31
IJ3WPW,Eglise protestante de Leiterswiller,Haguenau-Wissembourg,7.94736855506316,48.9244153868545,bon,2.0,Intérieurs non visités.,Eglise protestante de Leiterswiller : classement par arrêté du 13 mars 1924,2018-12-31
II5SH0,Eglise simultanée Saint-Jean-Baptiste de Hohwiller,Haguenau-Wissembourg,7.90488315120354,48.926586471084,moyen,20.0,"Couverture vétuste, enduit extérieur et grès à restaurer. Peintures murales en bon état.",Peintures murales du choeur : classement par arrêté du 6 décembre 1898 - Choeur (cad. 211-03 57) : inscription par arrêté du 21 février 1997,2018-12-31
IXZ5OA,Banc-reposoir,Haguenau-Wissembourg,7.8408740651048,48.9351663765648,mauvais,50.0,1/2 de la structure en grès est manquante,Banc-reposoir dit banc du Roi de Rome (parties subsistantes) (cad. 6 221) : inscription par arrêté du 20 octobre 1982,2018-12-31
IDK070,Calvaire,Haguenau-Wissembourg,8.17806990115536,48.9748433027051,bon,2.0,,Calvaire : inscription par arrêté du 3 juin 1932,2018-12-31
ITADPC,Château épiscopal (ancien),Haguenau-Wissembourg,8.17676104721586,48.9748955106254,bon,0.0,,Façades avec tourelle d'escalier et toiture : inscription par arrêté du 5 septembre 1932,2018-12-31
I7485O,Eglise catholique de la Trinité,Haguenau-Wissembourg,8.17800055556674,48.9750242299791,bon,25.0,Restauré en 2013,"Eglise, à l'exception de la sacristie axiale (cad. 3 17) : inscription par arrêté du 8 octobre 1984",2016-12-31
I03G8Q,Hotel de Ville,Haguenau-Wissembourg,8.17647053024556,48.9748092914754,bon,,,Porte monumentale (vantaux compris) datée de 1731 : inscription par arrêté du 11 mai 1932,2018-12-31
I0OPEJ,Porte de Landau,Haguenau-Wissembourg,8.1818406313901,48.9753073533551,moyen,0.0,"Importantes efflorescences, zone de marnage haute, bas-relief pulvérulent",Porte de Landau : inscription par arrêté du 11 mai 1932,2018-12-31
IMVHLQ,Porte du Milieu (DETRUITE),Haguenau-Wissembourg,8.1723109,48.9748994,,,,Porte du Milieu : inscription par arrêté du 29 mai 1931,2012-09-26
I6OJ8Y,Château de Fleckenstein (ruines),Haguenau-Wissembourg,7.77199218580796,49.0449020224269,moyen,,,Château de Fleckenstein (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
I36DR0,Château du Froensbourg (ruines du),Haguenau-Wissembourg,7.74312699895547,49.0369746809252,mauvais,10.0,,Château du Froensbourg ou Frundsberg : classement par arrêté du 6 décembre 1898,2018-12-31
IUYKUW,Banc-reposoir,Haguenau-Wissembourg,7.73513134362638,48.9094948162034,moyen,2.0,"cisaillement zu niveau du linteau, agrafes métalliques corrodées, éclatements léger des grès",Banc-reposoir (cad. 22 219) : inscription par arrêté du 20 octobre 1982,2018-12-31
IWP8TW,Château de Wasenbourg (ruines du),Haguenau-Wissembourg,7.61624708168566,48.9601962157332,mauvais,100.0,,Château de Wasenbourg (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
I2X4I9,Banc-reposoir napoléonien,Haguenau-Wissembourg,7.63860784968712,48.8355008938069,bon,0.0,tags,Banc-reposoir napoléonien (cad. 1 60) : inscription par arrêté du 9 mai 1988,2018-12-31
IDFQC6,Château Wasigenstein (ruines),Haguenau-Wissembourg,7.70172050764727,49.0478866708676,moyen,0.0,,Château Wasigenstein (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
I5TYK2,Eglise mixte d'Oberbronn,Haguenau-Wissembourg,7.60597183834962,48.939375334333,bon,10.0,,Eglise mixte d'Oberbronn : inscription par arrêté du 22 mai 1923,2018-12-31
IMWBWL,Maison,Haguenau-Wissembourg,7.60751114045163,48.9407159157448,bon,50.0,peinture étanche écaillée,Façades avec oriel et toiture : inscription par arrêté du 11 mai 1932,2018-12-31
IIG7GO,Maison,Haguenau-Wissembourg,7.60591003337704,48.9401423591748,moyen,15.0,Intérieurs pas vus. Enduit lacunaire. Altérations superficielles grès. Menuiseries défectueuses.,"La maison, y compris la tourelle d'escalier à l'arrière, le bâtiment en retour d'angle abritant la cave et la cour, en totalité (cad. 10 01, 259, 261, 262, cf plan annexé à l'arrêté) : inscription par arrêté du 10 avril 2012",2018-12-31
ISNUHO,Château de Lutzelhardt (ruines du) ,Haguenau-Wissembourg,7.65529622198629,49.0452591504974,moyen,70.0,,Château de Lutzelhandt (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
IAHGW0,Château Petit-Arnsberg (ruines),Haguenau-Wissembourg,7.69041184029629,49.0388659509528,moyen,20.0,,Château Petit-Arnsberg (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
I5OGBD,Chapelle de la Vierge (ancienne),Haguenau-Wissembourg,7.68743584961736,48.8127024076678,,0.0,,Plaque d'inscription et cruxifix en pierre : inscription par arrêté du 25 avril 1935,2018-12-31
I6WYHI,Ossuaire du cimetière (ancien) ,Haguenau-Wissembourg,7.61340373859436,48.8456772732213,mauvais,85.0,"édifice à assainir, enduits très cimentés, maçonnerie très humide, couverture à revoir, int.non vus",Ossuaire (ancien) (cad. 2 71) : inscription par arrêté du 8 octobre 1984,2018-12-31
I7LRZG,Mairie,Haguenau-Wissembourg,7.61099927698161,48.8448997392954,bon,35.0,,Façade sur la rue : inscription par arrêté du 25 avril 1935,2018-12-31
IEBCJS,Synagogue,Haguenau-Wissembourg,7.61181274501538,48.8446698732107,bon,30.0,,Synagogue (cad. 1 155) : classement par arrêté du 26 mai 1992,2018-12-31
IUTTRS,Château de Dietrich,Haguenau-Wissembourg,7.66464178715547,48.9294091258304,bon,5.0,,Château : classement par arrêté du 18 mai 1940,2018-12-31
ICCC4M,Eglise catholique Saint-Michel,Haguenau-Wissembourg,7.66445451827792,48.9318867915856,bon,0.0,,Eglise : classement par arrêté du 3 septembre 1921,2018-12-31
IAVDP5,Banc-reposoir ,Haguenau-Wissembourg,8.02601428782476,48.8219260695824,péril,0.0,,Le banc-reposoir : inscription par arrêté du 21 décembre 1984,2018-12-31
IS72KW,Banc-reposoir,Haguenau-Wissembourg,8.04527322699047,48.8340975481052,,,,Le banc-reposoir : inscription par arrêté du 28 décembre 1984,2018-12-31
IX2QR7,Eglise protestante,Haguenau-Wissembourg,8.05545921619937,48.8438175532405,bon,100.0,,Eglise protestante (cad. E 188) : inscription par arrêté du 8 octobre 1984,2018-12-31
IJYJ8B,Eglise et calvaire situé devant la façade,Haguenau-Wissembourg,8.00734215570886,48.8190722451521,moyen,0.0,"Peinture étanche, désagrégation de l'enduit et du grès. Dév crypto important sur calvaire",Eglise et calvaire : inscription par arrêté du 21 avril 1934,2018-12-31
ITZSYI,Eglise protestante Saints-Pierre-et-Paul,Haguenau-Wissembourg,7.8823291270076,48.9372964866178,bon,,Soubassement grès et escalier chœur à reprendre,Eglise protestante (cad. 1 95) : inscription par arrêté du 21 mars 1983,2018-12-31
IZ9RGK,Collégiale (ancienne),Haguenau-Wissembourg,7.84718501740922,48.9094962301244,bon,20.0,"Restauré en 2017-2018, mais façades extérieures à rejointoyer ou enduire",Collégiale : classement par arrêté du 4 juin 1874,2018-12-31
I7CSF1,Maison,Haguenau-Wissembourg,7.84836096270026,48.9101127239161,bon,1.0,Enduit ciment fissuré,Mur pignon sur rue avec sa sablière gravée d'une inscription en caractères hébraïques (cad. 1 15) : inscription par arrêté du 21 décembre 1984,2018-12-31
ISTXUZ,Eglise abbatiale Sainte-Walburge (ancienne),Haguenau-Wissembourg,7.78951959665988,48.8848473359797,moyen,,Vitraux MAUVAIS ETAT et sans protection efficace,Les vitraux : classement par liste de 1862 - L'église : classement par arrêté du 6 décembre 1898,2018-12-31
I0LZAS,Borne milliaire gallo-romaine,Haguenau-Wissembourg,7.78101408835244,48.7677499189724,moyen,0.0,"important développement cryptogamique, fortes salissures, forte exposition à l'humidité",Borne milliaire gallo-romaine : inscription par arrêté du 21 avril 1934,2018-12-31
I1ENPN,Eglise catholique Saint-Michel,Haguenau-Wissembourg,7.80221952991347,48.7183749865419,moyen,35.0,Extérieurs restaurés en 2016 - Études sur intérieurs en cours,Eglise catholique : inscription par arrêté du 6 janvier 1930,2018-12-31
IBL7JN,Château du Nouveau-Windstein (ruines),Haguenau-Wissembourg,7.6784975146275,48.9934589481977,moyen,30.0,,Château du Nouveau-Windstein (ruines) (cad. 6 52) : classement par arrêté du 21 mars 1983,2018-12-31
I33AQ6,Château du Vieux-Windstein (ruines),Haguenau-Wissembourg,7.68188106765781,48.9986577345791,moyen,70.0,,Château du Vieux-Windstein (ruines) (cad. 6 73/19) : inscription par arrêté du 9 novembre 1984,2018-12-31
I7SQUC,Château de Hohenbourg,Haguenau-Wissembourg,7.78380543141577,49.0553063234309,mauvais,30.0,,Château de Hohenbourg (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
IOOROK,Château de Loewenstein,Haguenau-Wissembourg,7.78628437952164,49.0535367977633,mauvais,50.0,,Château de Loewenstein (ruines) : classement par arrêté du 6 décembre 1898,2018-12-31
I61DAR,Chapelle Saint-Pierre-et-Paul,Haguenau-Wissembourg,7.94220458766583,49.0374734463851,mauvais,2.0,"Intérieur très cimenté, épaufrures + desquamations. Forte humidité dallage + parties basses",Chapelle Saint-Pierre-et-Paul et passage voûté reliant la chapelle et l'église : classement par arrêté du 4 juillet 1973,2018-12-31
IMVQGV,Eglise catholique Saint-Ulrich,Haguenau-Wissembourg,7.96847763553828,49.0303984526585,moyen,10.0,"Joints lavés, couverture vétuste, intérieur très humide, efflorescences + salpêtre + mousses",Eglise d'Altenstadt : classement par arrêté du 6 décembre 1898,2018-12-31
IRS5M9,Eglise des Dominicains (ancienne),Haguenau-Wissembourg,7.94748664110273,49.0361304498738,moyen,40.0,"Int. non vus (très remaniés). Enduit fissuré, grès desquamé. Bcp efflorescences + salissures",Eglise des Dominicains (ancienne) (cad. A 687) : inscription par arrêté du 21 septembre 1982,2018-12-31
IAVR11,Eglise protestante Saint-Jean-l'Evangéliste,Haguenau-Wissembourg,7.94288167525578,49.0385751721358,moyen,5.0,"Fissures maçonneries clocher, enduit ciment façade ouest + intérieur",Eglise protestante Saint-Jean : classement par arrêté du 6 décembre 1898,2018-12-31
IOIRZE,Eglise et chapelle Saints-Pierre-et-Paul,Haguenau-Wissembourg,7.94197235540611,49.0372185824982,mauvais,20.0,"Vitraux MAUVAIS ETAT, désordres structurels dans contreforts cloître, parements ext dégradés",Eglise Saints-Pierre-et-Paul : classement par journal officiel du 16 février 1930,2018-12-31
I2VT2U,Fortifications (restes des anciennes),Haguenau-Wissembourg,7.94653669809068,49.0393449029488,moyen,40.0,,Fortifications (restes des anciennes) : inscription par arrêté du 8 juillet 1933,2018-12-31
IDQ5GN,Hôpital Stanislas,Haguenau-Wissembourg,7.94176182369176,49.0360543290139,bon,20.0,Restauration complète 2017-2018,"Façades, toitures, escalier intérieur et cour d'honneur : classement par arrêté du 26 février 1929",2018-12-31
I2X2GK,Hôtel du prêteur royal Von Neubeck (ancien),Haguenau-Wissembourg,7.94451644136433,49.0387554142151,bon,,Int. non vus. Porte cochère en grès à consolider.,"Hôtel : façades et toitures, à l'exclusion de la colonne sanitaire au milieu de la façade sur jardin ; à l'intérieur : portes à panneaux du vestibule au rez-de-chaussée, cage d'escalier avec son décor stuqué et escalier, y compris le revers à décor stuqué des volées ; au premier étage : ensemble des pièces (vestibule, antichambre, cabinet d'angle, salon Louis XV, chambre à coucher Louis XV, salon de musique, grande salle) ayant conservé leur décor du 18e siècle et du début du 19e siècle (lambris, trumeaux, cheminées, plafonds stuqués). Mur de clôture de la propriété sur la rue Traversière (y compris la porte cochère) , sur la rue de l'Etoile et sur la rue du Musée. Dépendances du 18e siècle donnant sur la rue de l'Etoile : façades et toitures. Bâtiments annexes situés au fond du jardin et donnant sur la rue du Musée : façades et toitures (cad. A 372, 373, 373bis, 376p, 377) : inscription par arrêté du 16 juillet 1987",
I2CZOA,Hôtel de Ville,Haguenau-Wissembourg,7.9445111888828,49.0368896383625,bon,35.0,,"Hôtel de Ville, sauf parties classées : inscription par arrêté du 13 juin 1929 ; Façade et toiture : classement par arrêté du 22 septembre 1932",2018-12-31
IEP9L1,Maison Kobold,Haguenau-Wissembourg,7.94439196885239,49.038443040217,bon,,Intérieurs pas vus. Pan de bois sec + peinture étanche sur grès. Enduit ciment.,"Façades, toiture et plafond du salon du premier étage : classement par décret du 25 juin 1929",
INYNU4,Maison des Tanneurs (ancienne),Haguenau-Wissembourg,7.94053905851277,49.0384542749167,bon,10.0,,Façades sur le quai et rue des Remparts avec oriel et toitures : inscription par arrêté du 13 juin 1929,2018-12-31
IZWI5U,Maison Vogelsberger,Haguenau-Wissembourg,7.94269844881023,49.0380496272611,moyen,0.0,"Intérieurs non vus. Enduit vétuste, peinture étanche, étanchéité balcon défaillante.",Maison Vogelsberger : inscription par arrêté du 12 octobre 1929,2018-12-31
IU4VIC,Maison Wagenführer,Haguenau-Wissembourg,7.94313391639788,49.037688383028,moyen,5.0,"Pan de bois sec, enduit ciment fissuré.",Façades et toiture : inscription par arrêté du 14 décembre 1938,2018-12-31
I6YAMH,Maison,Haguenau-Wissembourg,7.94714746147144,49.0381585704028,bon,30.0,Intérieurs pas vus.,Maison du 16s : classement par arrêté du 9 octobre 1929,2018-12-31
IX2PUF,Maison,Haguenau-Wissembourg,7.94662347732751,49.03709096366,mauvais,,"Corniche instable, importantes épaufrures sur les jambages, entablement pulvérulent, encroutements.",Portail d'entrée sur cour : inscription par arrêté du 25 avril 1935,2018-12-31
I8024Z,Maison Bürgerhof (ancienne),Haguenau-Wissembourg,7.94710233626452,49.0367419296824,bon,20.0,"Encroutements noirs, joints ciment fissurés, bas-relief pulvérulent, enduit pignon très lacunaire.",Façades et toiture : inscription par arrêté du 25 avril 1935,2018-12-31
INAJP5,Maison,Haguenau-Wissembourg,7.94516820038093,49.0365664020551,bon,,,Façades et toiture : inscription par arrêté du 25 avril 1935,
IREDWS,Maison,Haguenau-Wissembourg,7.94504502283198,49.0387112775278,moyen,50.0,Grosses reprises ciment + abords très cimentés et insalubres (poubelles). Importantes épaufrures.,Porte d'entrée datée de 1616 : inscription par arrêté du 25 avril 1935,2018-12-31
I3H8LC,Musée Westercamp,Haguenau-Wissembourg,7.94475543257418,49.038894931234,moyen,0.0,"Fortes desquamations et pulvérulences du grès, pan de bois sec, enduit lacunaire.","Façades principales sur rue, façades des bâtiments du 16S sur cour, galerie et puits : inscription par arrêté du 25 avril 1935",2018-12-31
IJDXLF,Obélisque du roi de Rome,Haguenau-Wissembourg,7.94755844824694,49.0282918437598,bon,10.0,Mousses et salissures,Obélisque du roi de Rome (cad. C 2043/74) : inscription par arrêté du 1er octobre 1986,2018-12-31
IA733G,Eglise catholique Saint-Ulrich,Haguenau-Wissembourg,7.65745357101747,48.7812953575927,bon,10.0,,Tabernacle mural : inscription par arrêté du 21 avril 1934,2018-12-31
IJKPLQ,Banc-reposoir ,Haguenau-Wissembourg,7.74461998579343,48.9528228691556,bon,0.0,entretenu,Banc-reposoir dit de L'Impératrice (cad. 21 7) : inscription par arrêté du 20 octobre 1982,2018-12-31
IUOTG8,Ancien hôpital militaire et bourgeois,Haguenau-Wissembourg,7.78591132379982,48.8157938245494,bon,20.0,,Façades et toitures (cad. AC 7) : inscription par arrêté du 6 mars 1990,2018-12-31
IH4RI5,Léproserie (ancienne),Haguenau-Wissembourg,7.67177358462028,48.9333077316993,bon,0.0,restaurée en 2013,"Vestiges de l'église, dite Heidenkirche (cad. 14 139) : inscription par arrêté du 6 mars 1990",2018-12-31
ICC0LS,Château Saint-Rémy d'Altenstadt,Haguenau-Wissembourg,7.99584780733035,49.0268258651485,moyen,,,"Totalité du site comprenant les vestiges enfouis et le fossé (cad. 7G 530, 531, 563 à 565, 860) : inscription par arrêté du 3 novembre 1989",
IF2DPG,Vestiges du couvent cistercien de Neubourg ,Haguenau-Wissembourg,7.68288680215767,48.8403851423656,mauvais,,"Maçonneries instables, joints lavés, végétation, dégradations du grès","Totalité des vestiges (enclos, portail, bâtiments d'habitation existants et totalité du sol archéologique comprise dans les limites de cet enclos) (cad. 59 9) : inscription par arrêté du 4 mai 1990",2018-12-31
I4ZCH1,Maison des Chevaliers,Haguenau-Wissembourg,7.94259786664577,49.0368113592637,bon,80.0,Peinture étanche écaillée,Façades et toitures de l'aile Renaissance sur rue (à l'exclusion du palier et de l'escalier modernes) (cad. 28 73) : inscription par arrêté du 7 décembre 1990,2018-12-31
ISBIKV,Château du Geisberg,Haguenau-Wissembourg,7.95347385729055,49.0140142932765,mauvais,,Tour-porche : absence de couverture (bâche) et de menuiseries. Faç. maison du gardien très dégradées,"Façades et toitures de la tour-porche et de la maison du gardien ; les deux pavillons (cad. D 1814/700, 1878/700, 1879/700, 700) : inscription par arrêté du 9 juillet 1990",
I4IW59,Usine d'électricité (ancienne),Haguenau-Wissembourg,7.65021928914248,48.9450805790253,bon,,,"Façades et toitures, à l'exclusion de l'aile postérieure ouest ; dallage en mosaïque de l'entrée principale nord (intérieur) (cad. 183/20 17) : inscription par arrêté du 9 octobre 1991",
ISI9SQ,Synagogue,Haguenau-Wissembourg,7.6457884707893,48.9496547456192,bon,50.0,Intérieurs non vus,Façades et toitures (cad. 10 32) : inscription par arrêté du 13 avril 1992,2018-12-31
IM5ZF8,Fort de Schoenenbourg,Haguenau-Wissembourg,7.91421162494776,48.9654535949682,,,,"Fort de Schoenenbourg (cad. Hunspach 8 9 ; Ingolsheim 3 99, 100, 273/100, 275/100 ; 5 104 à 109, 116, 144, 211/113, 213/113, 215/113, 115 ; 8 109/88 ; 11 170, 171, 207/194, 209/194 ; 17 150/103) : inscription par arrêté du 5 octobre 1992 modifiée par arrêté du 14 janvier 1993",2018-12-31
IR0LOQ,Sécherie de pommes de pins sylvestres,Haguenau-Wissembourg,7.79214593960049,48.8158277074771,bon,,,Sècherie avec ses installations techniques (cad. BV 106/7) : inscription par arrêté du 19 août 1993,
ILJO38,Tour des Bouchers,Haguenau-Wissembourg,8.17702647800982,48.9742676551637,bon,,Restauré en 2018,Tour (cad. 3 113/54) : inscription par arrêté du 18 novembre 1993,2018-12-31
IBWBFL,Synagogue,Haguenau-Wissembourg,7.88019986105711,48.9379620670941,moyen,50.0,"Intérieur non vu. Façades+toiture encrassées, certains grès à consolider, verrières de doublage PVC",Façades et toitures d'origine et vitraux figuratifs (cad. 1 269/138) : inscription par arrêté du 16 août 1994,2018-12-31
I1EGIQ,Doyenné (ancien),Haguenau-Wissembourg,7.94083823844566,49.0369499441842,bon,0.0,Parc et dépendances non vus. ,"Façades et toiture du bâtiment principal (à l'exclusion de l'adjonction sud) , escalier d'honneur et grand salon central au premier étage ; façades et toiture des deux dépendances côté jardin, y compris la pierre tombale du 18e siècle en remploi ; parc attenant, avec l'escalier d'accès à la promenade-belvédère sur le rempart, et sa clôture (cad. 28 82) : inscription par arrêté du 16 août 1994",2018-12-31
I6W431,Théâtre municipal,Haguenau-Wissembourg,7.78884024626928,48.8126792654446,bon,5.0,,Théatre (cad. AS 32) : inscription par arrêté du 19 janvier 1995,2018-12-31
IP7LMR,Ecole primaire,Haguenau-Wissembourg,7.87025878762527,48.9893004451156,bon,25.0,,"Peintures murales : Terre d'Alsace et La Forêt enchantée, avec leur mur-support (cad. 4 222) : inscription par arrêté du 5 septembre 1996",2018-12-31
I49CJZ,Maison Müntz,Haguenau-Wissembourg,7.88469934172777,48.9385199599546,bon,,"Intérieurs non visités, soubassement en grès à reprendre","Façades, toitures et clôtures ; à l'intérieur : escalier principal et dallage du couloir du rez-de-chaussée (cad. 7 137) : inscription par arrêté du 5 septembre 1996",2018-12-31
I5XBSM,Canal et écluse de la Lauter,Haguenau-Wissembourg,7.93756761918197,49.0382956546405,moyen,20.0,"Joints lavés, enduit fissuré, maçonnerie instable par endroits. Développement crypto important.","Le canal de la Lauter compris entre la porte d'eau, l'enceinte urbaine ouest et le pont de jonction entre la rue du Faubourg-de-Bitche et le quai du 24-Novembre, y compris ce pont ; la porte d'eau (écluse) ; les garde-corps d'origine en fonte (cad. 27 9 ; domaine public, non cadastré sections 27 et 28 ; 28 46) : inscription par arrêté du 27 novembre 1997",2018-12-31
