Commune;Code département;DMAJ;INSEE;Région;Département;Commune 1;Appellation courante;Adresse 1;Siècle;Date de protection;Précision protection;Auteur;Statut;Description;Historique;Affectataire;Adresse;Précision Localisation;Référence;Contact;Longitude;Latitude;coordonnees
Rosheim;67;2022-02-21;67411;Grand Est;Bas-Rhin;Rosheim;Eglise catholique Saint-Etienne;rue de l'Eglise;"13e siècle;4e quart 18e siècle";1990/02/08 : classé MH;Eglise, à l'exception de la sacristie du 19s (cad. 02 137) : classement par arrêté du 8 février 1990;"Salins de Montfort Nicolas-Alexandre (architecte);;Pertois Jean-Baptiste (maître de l'oeuvre)";;;;;Eglise (rue de l');Anciennement région de : Alsace;PA00084908;mediatheque.patrimoine@culture.gouv.fr;7.46651678344765;48.4954669988506;48.4954669988506,7.46651678344765
Grandfontaine;67;2021-02-02;67165;Grand Est;Bas-Rhin;Grandfontaine;Sommet et musée du Donon;;3e quart 19e siècle;"1898/12/06 : classé MH ; 1934/06/26 : classé MH";"Musée du Donon : classement par arrêté du 6 décembre 1898 ; Sommet du Mont Donon délimité par une teinte rose sur le plan annexé au dossier : classement par arrêté du 26 juin 1934";Boltz (maître de l'oeuvre);;;;ministère chargé de l'agriculture;;Anciennement région de : Alsace;PA00084719;mediatheque.patrimoine@culture.gouv.fr;7.16310097716281;48.5115579412547;48.5115579412547,7.16310097716281
Wissembourg;67;2021-02-02;67544;Grand Est;Bas-Rhin;Wissembourg;Eglise catholique Saint-Ulrich, ou église d'Altenstadt;rue Principale;"11e siècle;4e quart 12e siècle";1898/12/06 : classé MH;Eglise d'Altenstadt : classement par arrêté du 6 décembre 1898;;;;;;Principale (rue);Anciennement région de : Alsace;PA00085244;mediatheque.patrimoine@culture.gouv.fr;7.96847763553828;49.0303984526585;49.0303984526585,7.96847763553828
Wasselonne;67;2022-02-21;67520;Grand Est;Bas-Rhin;Wasselonne;Restes de l'ancien château;cour du Château;;"1931/04/29 : inscrit MH ; 1932/06/03 : inscrit MH";"Porte d'entrée : inscription par arrêté du 29 avril 1931 ; Tour ronde : inscription par arrêté du 3 juin 1932";;;;;;Château (cour du);Anciennement région de : Alsace;PA00085214;mediatheque.patrimoine@culture.gouv.fr;7.44599020688378;48.6377500706776;48.6377500706776,7.44599020688378
Mutzig;67;2022-03-28;67313;Grand Est;Bas-Rhin;Mutzig;Ancien château de Rohan;rue du Château;"17e siècle;1ère moitié 18e siècle";1976/02/24 : inscrit MH;Façades et toitures (cad. E 2202/1353) : inscription par arrêté du 24 février 1976;;;;Manufacture d'armes à feu de 1789 à 1870.;;Château (rue du);Anciennement région de : Alsace;PA00084814;mediatheque.patrimoine@culture.gouv.fr;7.45383014107501;48.5363136420648;48.5363136420648,7.45383014107501
Oberhaslach;67;2022-03-28;67342;Grand Est;Bas-Rhin;Oberhaslach;Ruines du château Ringelsboug;;12e siècle;1898/12/06 : classé MH;Château Ringelsboug (ruines) : classement par arrêté du 6 décembre 1898;;;;;ministère chargé de l'agriculture;;Anciennement région de : Alsace;PA00084844;mediatheque.patrimoine@culture.gouv.fr;7.32116124508647;48.562945063556;48.562945063556,7.32116124508647
Obernai;67;2022-04-20;67348;Grand Est;Bas-Rhin;Obernai;Beffroi et chapelle dits Kappelturn;rue Sainte-Odile;"4e quart 13e siècle;15e siècle;16e siècle;17e siècle";1980/03/06 : classé MH;Beffroi et chapelle dits Kappelturn (cad. 3 98) : classement par arrêté du 6 mars 1980;;;;;;Sainte-Odile (rue);Anciennement région de : Alsace;PA00084846;mediatheque.patrimoine@culture.gouv.fr;7.48164490036203;48.4620502166718;48.4620502166718,7.48164490036203
Bischoffsheim;67;2022-07-20;67045;Grand Est;Bas-Rhin;Bischoffsheim;Couvent de Bischenberg (église catholique Notre-Dame);;"16e siècle;17e siècle;18e siècle;19e siècle";1984/11/16 : inscrit MH;Choeur de l'église (cad. 8 525) : inscription par arrêté du 16 novembre 1984;Ruhlmann Tristan (peintre-verrier);;;;;;Anciennement région de : Alsace;PA00084622;mediatheque.patrimoine@culture.gouv.fr;7.47976708205684;48.4832213397913;48.4832213397913,7.47976708205684
Boofzheim;67;2022-07-20;67055;Grand Est;Bas-Rhin;Boofzheim;Eglise catholique Saint-Etienne;;"16e siècle;17e siècle";1935/04/25 : inscrit MH;Trois pierres tombales de la famille Mueg de Boofzheim situées à l'extérieur du choeur de l'église ainsi que la porte d'entrée Renaissance de la sacristie : inscription par arrêté du 25 avril 1935;;;;;;;Anciennement région de : Alsace;PA00084637;mediatheque.patrimoine@culture.gouv.fr;7.68325225480732;48.3320393727095;48.3320393727095,7.68325225480732
Brumath;67;2022-07-20;67067;Grand Est;Bas-Rhin;Brumath;Ancienne église de Stephansfeld;;"11e siècle;13e siècle";1965/04/14 : inscrit MH;Deux tours y compris le bâtiment qui les relie (cad. 69) : inscription par arrêté du 14 avril 1965;;;;Eglise de l'ancien hôpital de Stephansfeld.;;;Anciennement région de : Alsace;PA00084662;mediatheque.patrimoine@culture.gouv.fr;7.70731808413112;48.7179911235097;48.7179911235097,7.70731808413112
Scherwiller;67;2022-07-20;67445;Grand Est;Bas-Rhin;Scherwiller;Maison;2 rue de la Mairie;1ère moitié 18e siècle;1932/05/11 : inscrit MH;Oriel : inscription par arrêté du 11 mai 1932;;;;;;Mairie (rue de la) 2;Anciennement région de : Alsace;PA00084973;mediatheque.patrimoine@culture.gouv.fr;7.42103418120206;48.2868654018865;48.2868654018865,7.42103418120206
Westhoffen;67;2022-07-20;67525;Grand Est;Bas-Rhin;Westhoffen;Maison;71 Stadtrain;1er quart 17e siècle;1934/04/21 : inscrit MH;Les deux portes d'entrée dans le mur de clôture de la cour : inscription par arrêté du 21 avril 1934;;;;"Immeuble remanié, mais conservant, dans le mur de clôture de la cour, deux portails Renaissance. La grande arcade d'entrée est très richement sculptée ; la petite arcade, moulurée, à profil biaisé, porte la date 1605.";;Stadtrain ( ) 71;Anciennement région de : Alsace;PA00085231;mediatheque.patrimoine@culture.gouv.fr;;;
Wissembourg;67;2022-07-20;67544;Grand Est;Bas-Rhin;Wissembourg;Chapelle Saint-Pierre-et-Paul;avenue de la Sous-Préfecture;2e quart 11e siècle;1973/07/04 : classé MH;Chapelle Saint-Pierre-et-Paul et passage voûté reliant la chapelle et l'église : classement par arrêté du 4 juillet 1973;;;;;;Sous-Préfecture (avenue de la);Anciennement région de : Alsace;PA00085243;mediatheque.patrimoine@culture.gouv.fr;7.94220458766583;49.0374734463851;49.0374734463851,7.94220458766583
Balbronn;67;2022-07-20;67018;Grand Est;Bas-Rhin;Balbronn;Eglise et cimetière de Balbronn;;"12e siècle;13e siècle;15e siècle";1990/09/10 : inscrit MH;Totalité des vestiges, y compris le sol (cad. 01 31, 33, 34, 39) : inscription par arrêté du 10 septembre 1990;;;;;;;Anciennement région de : Alsace;PA00085276;mediatheque.patrimoine@culture.gouv.fr;7.43765176903053;48.5847277299851;48.5847277299851,7.43765176903053
Altorf;67;2022-07-20;67008;Grand Est;Bas-Rhin;Altorf;Puits;place Saint-Cyriaque;17e siècle;1937/07/28 : inscrit MH;Puits : inscription par arrêté du 28 juillet 1937;;;;Le puits se trouvait auparavant dans le jardin du presbytère.;;Saint-Cyriaque (place);Anciennement région de : Alsace;PA00084582;mediatheque.patrimoine@culture.gouv.fr;;;
Bouxwiller;67;2022-07-20;67061;Grand Est;Bas-Rhin;Bouxwiller;Maison;29 Grand'Rue;3e quart 17e siècle;1930/10/16 : inscrit MH;Façade sur rue et toiture : inscription par arrêté du 16 octobre 1930;;;;;;Grand'Rue ( ) 29;Anciennement région de : Alsace;PA00084650;mediatheque.patrimoine@culture.gouv.fr;7.4812797606578;48.8240521142195;48.8240521142195,7.4812797606578
Balbronn;67;2022-07-20;67018;Grand Est;Bas-Rhin;Balbronn;Synagogue;rue des Femmes;4e quart 19e siècle;1999/02/10 : inscrit MH;Façades et toitures (cad. 1 76) : inscription par arrêté du 10 février 1999;;;;"Elevée en 1895, cette synagogue s'inscrit dans le contexte des synagogues néo-romanes dont l'Alsace s'est dotée pendant l'annexion allemande. L'emploi de l'arc outrepassé orientalisant marque la volonté des communautés juives de créer un style hébraïque différencié des styles historicistes occidentaux, traditionnels dans les édifices de culte catholiques et protestants. C'est un édifice de plan rectangulaire à six travées de fenêtres. Distribution intérieure classique : dans le vestibule, deux escaliers mènent à la tribune ; espace intérieur couvert d'un lambris de couvrement en sapin en forme de carène. La synagogue a été désaffectée en 1989.";;Femmes (rue des);Anciennement région de : Alsace;PA67000036;mediatheque.patrimoine@culture.gouv.fr;7.43924314406079;48.5844404506634;48.5844404506634,7.43924314406079
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Maison du 16e siècle;10 rue des Dentelles;16e siècle;1927/11/10 : classé MH;Façades et toitures, escalier : classement par arrêté du 10 novembre 1927;;;;;;Dentelles (rue des) 10;Anciennement région de : Alsace;PA00085101;mediatheque.patrimoine@culture.gouv.fr;7.74303748585284;48.580862186455;48.580862186455,7.74303748585284
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;3 place de la Grande-Boucherie;;1929/06/13 : inscrit MH;Façade et toiture : inscription par arrêté du 13 juin 1929;;;;;;Grande-Boucherie (place de la) 3;Anciennement région de : Alsace;PA00085114;mediatheque.patrimoine@culture.gouv.fr;7.75053977641967;48.5801326813788;48.5801326813788,7.75053977641967
Obernai;67;2022-07-20;67348;Grand Est;Bas-Rhin;Obernai;Maison;28 rue Dietrich;"3e quart 16e siècle;1er quart 18e siècle";1930/01/06 : inscrit MH;Façades sur rue et sur cour et escalier à vis : inscription par arrêté du 6 janvier 1930;;;;;;Dietrich (rue) 28;Anciennement région de : Alsace;PA00084857;mediatheque.patrimoine@culture.gouv.fr;7.4820895429425;48.4611176998337;48.4611176998337,7.4820895429425
Geiswiller;67;2022-07-20;67153;Grand Est;Bas-Rhin;Geiswiller;Banc-reposoir napoléonien;C.D. 632;"19e siècle;20e siècle";1988/05/09 : inscrit MH;Banc-reposoir napoléonien (cad. IV 115) : inscription par arrêté du 9 mai 1988;;;;Ce banc a été commandité par le Préfet.;;C.D. 632;Anciennement région de : Alsace;PA00084715;mediatheque.patrimoine@culture.gouv.fr;7.4940079454143;48.8027700143577;48.8027700143577,7.4940079454143
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Hôtel Magnus;59 rue du Faubourg-de-Pierre;2e moitié 19e siècle;2014/02/12 : inscrit MH;L'hôtel en totalité (logis, cour et dépendances) sur sa parcelle d'origine (cad. 77 32, cf plan annexé à l'arrêté) : inscription par arrêté du 12 février 2014;;;;Edifié entre 1871 et 1874, la propriété se compose dun logis, dune cour et dune dépendance domestique. Le logis, de plan rectangulaire, est construit en maçonnerie, son élévation antérieure est entièrement appareillée en grès gris, tandis que lélévation postérieure est enduite. Il comporte deux caves, un étage carré ainsi quun étage de comble, lensemble étant couvert par un toit à versants brisés. A lintérieur, une partie des décors dorigine a été conservée (fenêtres, serrurerie, stucs, lambris, etc). La cour comprend également des vestiges daménagements anciens (bassin dune fontaine et un treillage). Cet immeuble, de style néo-Renaissance, sinscrit entre deux époques : celle du Second Empire, de par son style, et celle du II Reich des Hohenzollern, de par sa chronologie.;;Faubourg-de-Pierre (rue du) 59;Anciennement région de : Alsace;PA67000093;mediatheque.patrimoine@culture.gouv.fr;7.74489946752956;48.5895979160642;48.5895979160642,7.74489946752956
Rhinau;67;2022-07-20;67397;Grand Est;Bas-Rhin;Rhinau;Usine List;16, 22, 24 rue de Boofzheim;2e quart 20e siècle;2009/12/14 : inscrit MH;"Le bâtiment de l'usine et sa chaufferie extérieure, en totalité ; les deux pavillons de logement pour les ouvriers de l'usine, en totalité (cad. 07 38, 40 à 54, 67, 92 à 100, 198, 256, 263) : inscription par arrêté du 14 décembre 2009";Neufert Ernst (architecte);;;Le bâtiment de l'usine est construit entre 1941 et 1942 pour la firme d'électrotechnique berlinoise Heinrich List sur les plans de l'architecte Ernst Neufert. Le bâtiment principal est construit en béton armé avec un remplissage de briques rouges. L'espace intérieur se compose de trois grands plateaux industriels dévolus aux espaces de travail. Les différents niveaux étaient desservis par un monte-charge permettant la circulation verticale de la production. Il est scandé de quatre avant-corps verticaux qui regroupent les fonctions administratives, les sanitaires et les escaliers. Cette spécialisation des espaces répond aux principes de rationalisation et de normalisation des constructions architecturales de cette époque. L'accès se faisait originellement par la façade ouest, dans laquelle est aménagée une porte monumentale dont l'accès se fait par une rampe. En 1942, deux pavillons en béton et briques sont construits selon les plans de Neufert d'après une commande de Speer pour abriter huit familles d'ouvriers. La fermeture de l'usine, en 1944, met fin au projet de construction d'une cité ouvrière.;;Boofzheim (rue de) 16, 22, 24;Anciennement région de : Alsace;PA67000084;mediatheque.patrimoine@culture.gouv.fr;7.69836612329191;48.3264832620161;48.3264832620161,7.69836612329191
Saverne;67;2022-07-20;67437;Grand Est;Bas-Rhin;Saverne;Ancien Hôtel de Wangen;24 rue des Murs;17e siècle;1930/10/16 : inscrit MH;Hôtel (presbytère) et restes des fortifications du Moyen Age qui en dépendent : inscription par arrêté du 16 octobre 1930;;;;;;Murs (rue des) 24;Anciennement région de : Alsace;PA00084958;mediatheque.patrimoine@culture.gouv.fr;7.3638495091125;48.7397090991676;48.7397090991676,7.3638495091125
Mutzig;67;2022-07-20;67313;Grand Est;Bas-Rhin;Mutzig;Synagogue;rue Haute;18e siècle;1984/10/08 : inscrit MH;Façades, toitures ainsi que le mur de clôture (cad. 3 100) : inscription par arrêté du 8 octobre 1984;;;;;;Haute (rue);Anciennement région de : Alsace;PA00084817;mediatheque.patrimoine@culture.gouv.fr;7.45285514636357;48.5395852142342;48.5395852142342,7.45285514636357
"Hunspach;Ingolsheim";67;2022-07-20;"67213;67221";Grand Est;Bas-Rhin;"Hunspach;Ingolsheim";Fort de Schoenenbourg (ligne Maginot) (également sur commune de Hunspach);;2e quart 20e siècle;"1992/10/05 : inscrit MH ; 1993/01/14 : inscrit MH";"Fort de Schoenenbourg (cad. Hunspach 8 9 ; Ingolsheim 3 99, 100, 273/100, 275/100 ; 5 104 à 109, 116, 144, 211/113, 213/113, 215/113, 115 ; 8 109/88 ; 11 170, 171, 207/194, 209/194 ; 17 150/103) : inscription par arrêté du 5 octobre 1992 modifiée par arrêté du 14 janvier 1993";;;;"Fort défensif et ouvrage d'artillerie faisant partie du secteur fortifié de Haguenau (ligne Maginot) conçu en 1929 et construit en béton armé de 1930 à 1935. Prévu pour une garnison de 600 hommes, le fort est doté de deux blocs d'entrée, six blocs de combat et trois kilomètres de galeries souterraines avec des voies ferrées électrifiées. Attaqué le 14 mai 1940, l'ouvrage résistait encore au moment de l'armistice du 25 juin 1940, ses défenseurs se rendant le 1er juillet. A l'abandon à partir de 1968, l'ouvrage a été remarquablement restauré et mis en valeur par l'Association des amis de la ligne Maginot ; il est ouvert comme musée depuis 1982.";association;;Oeuvre sur plusieurs communes. Anciennement région de : Alsace;PA00085309;mediatheque.patrimoine@culture.gouv.fr;7.91421162494776;48.9654535949682;48.9654535949682,7.91421162494776
Niederbronn-les-Bains;67;2022-07-20;67324;Grand Est;Bas-Rhin;Niederbronn-les-Bains;Ruines du château de Wasenbourg;;13e siècle;1898/12/06 : classé MH;Château de Wasenbourg (ruines) : classement par arrêté du 6 décembre 1898;;;;;ministère chargé de l'agriculture;;Anciennement région de : Alsace;PA00084830;mediatheque.patrimoine@culture.gouv.fr;7.61624708168566;48.9601962157332;48.9601962157332,7.61624708168566
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;5 rue des Bouchers;4e quart 18e siècle;1929/06/25 : inscrit MH;Porte (vantaux compris) et balcon : inscription par arrêté du 25 juin 1929;;;;;;Bouchers (rue des) 5;Anciennement région de : Alsace;PA00085090;mediatheque.patrimoine@culture.gouv.fr;7.75142607398272;48.5786590484352;48.5786590484352,7.75142607398272
Bouxwiller;67;2022-07-20;67061;Grand Est;Bas-Rhin;Bouxwiller;Maison;3 rue de la Poste;17e siècle;;;;;;;;Poste (rue de la) 3;Anciennement région de : Alsace;PA00084655;mediatheque.patrimoine@culture.gouv.fr;;;
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Palais de Justice;quai Finkmatt;4e quart 19e siècle;1992/07/02 : inscrit MH;"Les façades et toitures du bâtiment d'origine, y compris les deux pylônes devant la façade principale et la clôture de la cour postérieure ; à l'intérieur : le vestibule d'entrée, la salle des pas-perdus avec ses escaliers et galeries ; les salles d'audience avec leurs lambris et plafonds stuqués ou lambrissés (cad. 80 119) : inscription par arrêté du 2 juillet 1992";Neckelmann Skjold (architecte);;;;ministère chargé de la justice;Finkmatt (quai);Anciennement région de : Alsace;PA00085312;mediatheque.patrimoine@culture.gouv.fr;7.74807591453659;48.5882920768994;48.5882920768994,7.74807591453659
Scherwiller;67;2022-07-20;67445;Grand Est;Bas-Rhin;Scherwiller;Pont numéro 3;;18e siècle;1993/11/18 : inscrit MH;Pont situé sur l'ancienne route du Sel entre Scherwiller et Thanvillé (cf plan annexé à l'arrêté) (cad. A1) : inscription par arrêté du 18 novembre 1993;;;;;;;Anciennement région de : Alsace;PA00125224;mediatheque.patrimoine@culture.gouv.fr;974500.0;1378100.0;
Andlau;67;2022-07-20;67010;Grand Est;Bas-Rhin;Andlau;Maison;17, anciennement 14 rue Docteur-Stoltz;16e siècle;1934/04/21 : inscrit MH;Porte sur rue datée de 1573 : inscription par arrêté du 21 avril 1934;;;;;;Docteur-Stoltz (rue) 17, anciennement 14;Anciennement région de : Alsace;PA00084590;mediatheque.patrimoine@culture.gouv.fr;7.41683528696463;48.3869104137419;48.3869104137419,7.41683528696463
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;15 rue Brûlée;4e quart 16e siècle;1939/08/10 : classé MH;Tourelle d'escalier : classement par arrêté du 10 août 1939;Frauler Hans (sculpteur);;;;;Brûlée (rue) 15;Anciennement région de : Alsace;PA00085096;mediatheque.patrimoine@culture.gouv.fr;7.75265139211197;48.5850080171091;48.5850080171091,7.75265139211197
Wissembourg;67;2022-07-20;67544;Grand Est;Bas-Rhin;Wissembourg;Maison Vogelsberger;2, anciennement 65 quai Anselmann;2e quart 16e siècle;1929/10/12 : inscrit MH;Maison Vogelsberger : inscription par arrêté du 12 octobre 1929;;;;;ministère chargé de la défense;Anselmann (quai) 2, anciennement 65;Anciennement région de : Alsace;PA00085254;mediatheque.patrimoine@culture.gouv.fr;7.94269844881023;49.0380496272611;49.0380496272611,7.94269844881023
Sélestat;67;2021-02-02;67462;Grand Est;Bas-Rhin;Sélestat;Ancienne cathédrale ou église Saint-Georges;place Saint-Georges;"13e siècle;14e siècle;15e siècle;18e siècle;19e siècle";1848/03/16 : classé MH;L'ancienne cathédrale : classement par arrêté du 16 mars 1848;;;;Cet édifice a subi des dommages de guerre.;;Saint-Georges (place);Anciennement région de : Alsace;PA00084978;mediatheque.patrimoine@culture.gouv.fr;7.45656699559878;48.2600678623977;48.2600678623977,7.45656699559878
Strasbourg;67;2021-11-08;67482;Grand Est;Bas-Rhin;Strasbourg;Ancien grenier d'abondance dit Kornspeicher;place Broglie;15e siècle;1999/02/10 : inscrit MH;Façades médiévales (cad. 66 2) : inscription par arrêté du 10 février 1999;;;;En 1441, le magistrat de Strasbourg élève un nouveau grenier à grains en utilisant les restes de l'enceinte du castrum romain. Le grenier originel, en briques d'argile jaune, a été remanié à plusieurs reprises. Au milieu du 16e siècle, installation d'une seconde rangée de piliers. A partir de la fin du 18e siècle, destruction de l'extrémité nord-est (1767) , de la partie centrale (1804) , de l'extrémité est (1941). Seule subsiste actuellement la partie ouest du grenier (environ un tiers du grenier d'origine) modifiée et réaménagée après le bombardement de 1870.;;Broglie (place);Anciennement région de : Alsace;PA67000028;mediatheque.patrimoine@culture.gouv.fr;7.75223791830656;48.5854194318069;48.5854194318069,7.75223791830656
Birkenwald;67;2022-02-21;67041;Grand Est;Bas-Rhin;Birkenwald;Eglise catholique Saint-Louis;rue Principale;"2e moitié 16e siècle;2e moitié 18e siècle";1930/10/16 : inscrit MH;Eglise catholique : inscription par arrêté du 16 octobre 1930;;;;;;Principale (rue);Anciennement région de : Alsace;PA00084618;mediatheque.patrimoine@culture.gouv.fr;7.34427895920137;48.6590905063052;48.6590905063052,7.34427895920137
Kogenheim;67;2022-02-21;67246;Grand Est;Bas-Rhin;Kogenheim;Eglise catholique Saint-Léger;rue de l'Eglise;18e siècle;1934/04/21 : inscrit MH;Eglise : inscription par arrêté du 21 avril 1934;;;;;;Eglise (rue de l');Anciennement région de : Alsace;PA00084761;mediatheque.patrimoine@culture.gouv.fr;7.54238276376515;48.3370612872531;48.3370612872531,7.54238276376515
Scharrachbergheim-Irmstett;67;2022-02-21;67442;Grand Est;Bas-Rhin;Scharrachbergheim-Irmstett;Eglise protestante de Scharrachbergheim;rue de l'Eglise;;1893/11/09 : classé MH;Clocher : classement par arrêté du 9 novembre 1893;;;;;;Eglise (rue de l');Anciennement région de : Alsace;PA00084969;mediatheque.patrimoine@culture.gouv.fr;7.49867386737427;48.5932315961603;48.5932315961603,7.49867386737427
Petite-Pierre (La);67;2022-03-28;67371;Grand Est;Bas-Rhin;La Petite-Pierre;Ruines du château et restes des enceintes fortifiées;;"14e siècle;16e siècle";1922/04/27 : classé MH;Château (ruines) et enceintes fortifiées (restes) : classement par arrêté du 27 avril 1922;;;;;;;Anciennement région de : Alsace;PA00084889;mediatheque.patrimoine@culture.gouv.fr;7.31519119778969;48.8567331047993;48.8567331047993,7.31519119778969
Andlau;67;2022-03-28;67010;Grand Est;Bas-Rhin;Andlau;Ruines du château de Spesbourg;;"13e siècle;14e siècle";1967/12/18 : classé MH;Château de Spesbourg (ruines) (cad. 27 14) : classement par arrêté du 18 décembre 1967;;;;;;;Anciennement région de : Alsace;PA00084586;mediatheque.patrimoine@culture.gouv.fr;7.39732376686969;48.4019701476683;48.4019701476683,7.39732376686969
